0,1,105.86,83.83,89.41,257.95,0.93,-1,-1,-1
0,2,-18.23,88.78,71.36,232.53,0.85,-1,-1,-1
0,3,215.40,121.21,58.76,174.34,0.72,-1,-1,-1
1,1,104.77,85.93,88.94,256.65,0.93,-1,-1,-1
1,2,-11.01,88.68,71.12,232.83,0.88,-1,-1,-1
1,3,214.65,119.71,61.75,183.22,0.65,-1,-1,-1
2,1,104.26,87.82,88.07,254.18,0.93,-1,-1,-1
2,2,-8.32,89.65,70.28,231.54,0.89,-1,-1,-1
2,3,214.17,119.72,62.88,186.77,0.66,-1,-1,-1
3,1,104.02,89.95,86.78,250.43,0.93,-1,-1,-1
3,2,-6.20,90.79,69.00,229.41,0.92,-1,-1,-1
3,3,214.13,120.44,61.70,183.30,0.70,-1,-1,-1
4,1,103.63,91.25,85.69,247.27,0.93,-1,-1,-1
4,2,-3.60,91.00,68.25,229.06,0.91,-1,-1,-1
4,3,214.27,120.86,60.38,179.41,0.65,-1,-1,-1
5,1,102.99,92.35,84.93,245.09,0.94,-1,-1,-1
5,2,0.14,90.30,68.07,229.74,0.91,-1,-1,-1
5,3,213.62,120.92,60.93,181.65,0.68,-1,-1,-1
6,1,102.48,93.22,84.20,243.09,0.94,-1,-1,-1
6,2,3.58,90.43,67.92,229.93,0.92,-1,-1,-1
6,3,212.66,120.93,60.93,182.10,0.63,-1,-1,-1
7,1,102.50,94.11,83.34,240.57,0.94,-1,-1,-1
7,2,5.71,90.87,67.79,229.94,0.92,-1,-1,-1
7,3,212.23,121.00,60.98,183.29,0.71,-1,-1,-1
8,1,102.51,94.29,82.59,238.43,0.94,-1,-1,-1
8,2,6.85,91.41,67.62,229.42,0.92,-1,-1,-1
8,3,211.60,121.03,60.32,182.31,0.71,-1,-1,-1
9,1,102.53,94.14,81.89,236.19,0.94,-1,-1,-1
9,2,7.47,92.26,67.39,228.73,0.93,-1,-1,-1
9,3,210.81,120.79,59.37,180.61,0.69,-1,-1,-1
10,1,102.60,94.05,81.40,234.53,0.94,-1,-1,-1
10,2,8.24,93.80,66.96,227.25,0.93,-1,-1,-1
10,3,209.15,120.47,59.63,182.23,0.69,-1,-1,-1
11,1,102.62,94.13,81.29,234.03,0.94,-1,-1,-1
11,2,8.46,94.74,66.78,226.64,0.93,-1,-1,-1
11,3,210.31,120.74,58.37,179.22,0.75,-1,-1,-1
12,1,102.52,94.22,81.52,234.62,0.95,-1,-1,-1
12,2,8.60,95.45,66.67,226.21,0.93,-1,-1,-1
12,3,209.77,120.45,58.61,180.94,0.76,-1,-1,-1
13,1,102.78,95.84,80.76,232.38,0.95,-1,-1,-1
13,2,10.58,94.42,66.04,225.80,0.92,-1,-1,-1
13,3,209.17,119.88,58.40,182.04,0.78,-1,-1,-1
14,1,103.06,97.50,80.13,230.38,0.95,-1,-1,-1
14,2,12.51,94.48,65.07,225.05,0.92,-1,-1,-1
14,3,208.00,119.59,57.18,180.09,0.80,-1,-1,-1
15,1,103.46,98.82,79.66,228.82,0.94,-1,-1,-1
15,2,13.90,94.25,64.32,224.72,0.92,-1,-1,-1
15,3,207.13,119.64,56.10,178.89,0.81,-1,-1,-1
16,1,104.19,100.24,78.78,225.96,0.94,-1,-1,-1
16,2,15.34,94.61,63.91,224.77,0.93,-1,-1,-1
16,3,206.69,119.59,55.60,179.45,0.82,-1,-1,-1
17,1,104.83,101.65,78.21,224.05,0.94,-1,-1,-1
17,2,17.19,94.81,63.88,225.04,0.93,-1,-1,-1
17,3,206.20,119.11,55.29,180.58,0.82,-1,-1,-1
18,1,105.48,102.14,77.94,223.41,0.95,-1,-1,-1
18,2,18.97,94.76,64.19,225.72,0.94,-1,-1,-1
18,3,204.86,118.63,54.88,181.46,0.81,-1,-1,-1
19,1,106.43,103.01,77.52,222.37,0.95,-1,-1,-1
19,2,20.94,94.81,64.64,226.22,0.93,-1,-1,-1
19,3,203.73,118.46,54.51,182.10,0.81,-1,-1,-1
20,1,107.70,103.76,77.06,221.43,0.94,-1,-1,-1
20,2,22.57,94.66,65.28,227.03,0.94,-1,-1,-1
20,3,203.12,118.24,54.13,182.49,0.82,-1,-1,-1
21,1,109.08,104.96,76.45,220.34,0.94,-1,-1,-1
21,2,23.88,94.98,65.87,226.81,0.94,-1,-1,-1
21,3,202.81,117.94,53.60,182.86,0.83,-1,-1,-1
22,1,110.40,105.64,75.68,218.80,0.94,-1,-1,-1
22,2,24.50,94.94,67.00,227.94,0.93,-1,-1,-1
22,3,201.93,117.53,53.54,185.12,0.83,-1,-1,-1
23,1,111.67,106.43,75.01,217.41,0.94,-1,-1,-1
23,2,24.89,95.15,67.97,228.30,0.93,-1,-1,-1
23,3,201.57,117.38,52.88,185.06,0.83,-1,-1,-1
24,1,113.14,107.11,73.88,214.23,0.95,-1,-1,-1
24,2,25.52,95.90,68.71,228.20,0.93,-1,-1,-1
24,3,201.24,117.07,52.10,183.92,0.84,-1,-1,-1
25,1,114.53,107.79,73.09,211.72,0.94,-1,-1,-1
25,2,26.04,95.91,69.62,229.03,0.93,-1,-1,-1
25,3,200.87,116.62,51.98,184.57,0.83,-1,-1,-1
26,1,115.79,108.24,72.81,210.78,0.94,-1,-1,-1
26,2,27.29,95.53,70.18,229.57,0.93,-1,-1,-1
26,3,200.21,116.34,51.75,184.47,0.84,-1,-1,-1
27,1,117.03,108.03,72.35,209.31,0.95,-1,-1,-1
27,2,28.34,94.85,70.77,230.76,0.93,-1,-1,-1
27,3,199.05,116.06,51.94,185.68,0.85,-1,-1,-1
28,1,118.34,108.07,71.80,207.45,0.95,-1,-1,-1
28,2,29.86,94.28,71.07,231.50,0.93,-1,-1,-1
28,3,198.05,115.69,52.37,187.45,0.85,-1,-1,-1
29,1,119.68,108.22,71.54,206.36,0.95,-1,-1,-1
29,2,30.79,93.53,71.21,232.00,0.93,-1,-1,-1
